Identifier,Location,Year,Habitat,count,Family,Species,length,a,b,abundance.500m2,biomass.kgha,mass.g,FG.fine,FG.coarse,lat,lon,Management,Island,state
28065,Cousin Granitic,2008,Granitic,8,Labridae,Halichoeres marginatus,11,0.0215,3,3.25,1.86,29.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28277,Cousin Granitic,2008,Granitic,8,Labridae,Hemigymnus fasciatus,21,0.0289,3,3.25,17.39,268.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28543,Cousin Granitic,2008,Granitic,8,Labridae,Labroides dimidiatus,8,0.0076,3.105,3.25,0.31,5.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28544,Cousin Granitic,2008,Granitic,8,Labridae,Labroides dimidiatus,9,0.0076,3.105,3.25,0.45,7.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28746,Cousin Granitic,2008,Granitic,8,Labridae,Stethojulis albovittata,11,0.0128,3.077,3.25,1.33,20.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
29482,Cousin Granitic,2008,Granitic,8,Lethrinidae,Lethrinus nebulosus,18,0.0204,2.975,3.25,7.19,111.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
29483,Cousin Granitic,2008,Granitic,8,Lethrinidae,Lethrinus nebulosus,16,0.0204,2.975,3.25,5.06,78.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
30255,Cousin Granitic,2008,Granitic,8,Monacanthidae,Cantherhines pardalis,14,0.017,3.07,3.25,3.65,56.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30681,Cousin Granitic,2008,Granitic,8,Mullidae,Parupeneus cyclostomus,12,0.012416,3,3.25,1.39,21.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
30772,Cousin Granitic,2008,Granitic,8,Mullidae,Parupeneus macronemus,8,0.0052,3.381,3.25,0.38,6.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30773,Cousin Granitic,2008,Granitic,8,Mullidae,Parupeneus macronemus,8,0.0052,3.381,3.25,0.38,6.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31074,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,18,0.03744,2.846125,3.25,9.09,140.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31075,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31076,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31077,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31078,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31079,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31080,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31081,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31082,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31083,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31084,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31085,Cousin Granitic,2008,Granitic,8,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31815,Cousin Granitic,2008,Granitic,8,Pomacanthidae,Pomacanthus semicirculatus,18,0.0286,3,3.25,10.84,167.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
34357,Cousin Granitic,2008,Granitic,8,Scaridae,Chlorurus sordidus,35,0.0182,3.15,3.25,86.41,1330.0,Herbivore Excavator,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
34358,Cousin Granitic,2008,Granitic,8,Scaridae,Chlorurus sordidus,22,0.0182,3.15,3.25,20.02,308.0,Herbivore Excavator,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
34359,Cousin Granitic,2008,Granitic,8,Scaridae,Chlorurus sordidus,28,0.0182,3.15,3.25,42.78,659.0,Herbivore Excavator,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
34360,Cousin Granitic,2008,Granitic,8,Scaridae,Chlorurus sordidus,31,0.0182,3.15,3.25,58.95,908.0,Herbivore Excavator,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35689,Cousin Granitic,2008,Granitic,8,Scaridae,Scarus prasiognathos,8,0.0142,3.14,3.25,0.63,10.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35690,Cousin Granitic,2008,Granitic,8,Scaridae,Scarus prasiognathos,10,0.0142,3.14,3.25,1.27,20.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35691,Cousin Granitic,2008,Granitic,8,Scaridae,Scarus prasiognathos,10,0.0142,3.14,3.25,1.27,20.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35692,Cousin Granitic,2008,Granitic,8,Scaridae,Scarus prasiognathos,11,0.0142,3.14,3.25,1.72,26.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35693,Cousin Granitic,2008,Granitic,8,Scaridae,Scarus prasiognathos,11,0.0142,3.14,3.25,1.72,26.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36081,Cousin Granitic,2008,Granitic,8,Scaridae,Scarus psittacus,25,0.0222,2.982,3.25,21.26,327.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36235,Cousin Granitic,2008,Granitic,8,Scaridae,Scarus rubroviolaceus,23,0.0136,3.109,3.25,15.13,233.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36236,Cousin Granitic,2008,Granitic,8,Scaridae,Scarus rubroviolaceus,26,0.0136,3.109,3.25,22.15,341.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36509,Cousin Granitic,2008,Granitic,8,Serranidae,Aethaloperca rogaa,22,0.0396,2.761,3.25,13.09,201.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
36510,Cousin Granitic,2008,Granitic,8,Serranidae,Aethaloperca rogaa,15,0.0396,2.761,3.25,4.55,70.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
37394,Cousin Granitic,2008,Granitic,8,Zanclidae,Zanclus cornutus,14,0.0172,3.171,3.25,4.81,74.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
25390,Cousin Granitic,2008,Granitic,9,Acanthuridae,Acanthurus tennentii,28,0.0261,3.024,3.25,40.32,621.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25391,Cousin Granitic,2008,Granitic,9,Acanthuridae,Acanthurus tennentii,27,0.0261,3.024,3.25,36.12,556.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25392,Cousin Granitic,2008,Granitic,9,Acanthuridae,Acanthurus tennentii,26,0.0261,3.024,3.25,32.22,496.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25393,Cousin Granitic,2008,Granitic,9,Acanthuridae,Acanthurus tennentii,28,0.0261,3.024,3.25,40.32,621.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25394,Cousin Granitic,2008,Granitic,9,Acanthuridae,Acanthurus tennentii,28,0.0261,3.024,3.25,40.32,621.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25530,Cousin Granitic,2008,Granitic,9,Acanthuridae,Acanthurus triostegus,14,0.1317,2.392,3.25,4.72,73.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
26273,Cousin Granitic,2008,Granitic,9,Chaetodontidae,Chaetodon auriga,11,0.0312,2.953,3.25,2.41,37.0,Mixed-diet Feeder,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
27196,Cousin Granitic,2008,Granitic,9,Labridae,Cheilinus trilobatus,33,0.021,2.972,3.25,44.45,684.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28066,Cousin Granitic,2008,Granitic,9,Labridae,Halichoeres marginatus,13,0.0215,3,3.25,3.07,47.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28545,Cousin Granitic,2008,Granitic,9,Labridae,Labroides dimidiatus,8,0.0076,3.105,3.25,0.31,5.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28546,Cousin Granitic,2008,Granitic,9,Labridae,Labroides dimidiatus,10,0.0076,3.105,3.25,0.63,10.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28547,Cousin Granitic,2008,Granitic,9,Labridae,Labroides dimidiatus,8,0.0076,3.105,3.25,0.31,5.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28747,Cousin Granitic,2008,Granitic,9,Labridae,Stethojulis albovittata,12,0.0128,3.077,3.25,1.74,27.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
29484,Cousin Granitic,2008,Granitic,9,Lethrinidae,Lethrinus nebulosus,16,0.0204,2.975,3.25,5.06,78.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
29746,Cousin Granitic,2008,Granitic,9,Lutjanidae,Aprion virescens,52,0.0255,2.87,3.25,139.36,2145.0,Piscivore,Piscivore,-4.328438,55.66162,Protected,Cousin,Shifted
31086,Cousin Granitic,2008,Granitic,9,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31087,Cousin Granitic,2008,Granitic,9,Nemipteridae,Scolopsis frenatus,16,0.03744,2.846125,3.25,6.50,100.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31816,Cousin Granitic,2008,Granitic,9,Pomacanthidae,Pomacanthus semicirculatus,23,0.0286,3,3.25,22.60,348.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
37020,Cousin Granitic,2008,Granitic,9,Siganidae,Siganus stellatus,25,0.0131,3.088,3.25,17.65,272.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
37021,Cousin Granitic,2008,Granitic,9,Siganidae,Siganus stellatus,25,0.0131,3.088,3.25,17.65,272.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
37395,Cousin Granitic,2008,Granitic,9,Zanclidae,Zanclus cornutus,12,0.0172,3.171,3.25,2.95,45.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
25395,Cousin Granitic,2008,Granitic,10,Acanthuridae,Acanthurus tennentii,31,0.0261,3.024,3.25,54.85,844.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25396,Cousin Granitic,2008,Granitic,10,Acanthuridae,Acanthurus tennentii,28,0.0261,3.024,3.25,40.32,621.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25397,Cousin Granitic,2008,Granitic,10,Acanthuridae,Acanthurus tennentii,13,0.0261,3.024,3.25,3.96,61.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25398,Cousin Granitic,2008,Granitic,10,Acanthuridae,Acanthurus tennentii,14,0.0261,3.024,3.25,4.96,76.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25531,Cousin Granitic,2008,Granitic,10,Acanthuridae,Acanthurus triostegus,14,0.1317,2.392,3.25,4.72,73.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25532,Cousin Granitic,2008,Granitic,10,Acanthuridae,Acanthurus triostegus,15,0.1317,2.392,3.25,5.56,86.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
26274,Cousin Granitic,2008,Granitic,10,Chaetodontidae,Chaetodon auriga,8,0.0312,2.953,3.25,0.94,14.0,Mixed-diet Feeder,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
26596,Cousin Granitic,2008,Granitic,10,Chaetodontidae,Chaetodon trifasciatus,12,0.0387,2.894,3.25,3.34,51.0,Corallivore,Corallivore,-4.328438,55.66162,Protected,Cousin,Shifted
27197,Cousin Granitic,2008,Granitic,10,Labridae,Cheilinus trilobatus,31,0.021,2.972,3.25,36.91,568.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28548,Cousin Granitic,2008,Granitic,10,Labridae,Labroides dimidiatus,9,0.0076,3.105,3.25,0.45,7.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28748,Cousin Granitic,2008,Granitic,10,Labridae,Stethojulis albovittata,10,0.0128,3.077,3.25,0.99,15.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28749,Cousin Granitic,2008,Granitic,10,Labridae,Stethojulis albovittata,11,0.0128,3.077,3.25,1.33,20.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30532,Cousin Granitic,2008,Granitic,10,Mullidae,Parupeneus barberinus,32,0.0151,3.078,3.25,42.12,648.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30774,Cousin Granitic,2008,Granitic,10,Mullidae,Parupeneus macronemus,16,0.0052,3.381,3.25,3.98,61.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30775,Cousin Granitic,2008,Granitic,10,Mullidae,Parupeneus macronemus,11,0.0052,3.381,3.25,1.12,17.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31505,Cousin Granitic,2008,Granitic,10,Pomacanthidae,Centropyge multispinis,12,0.0601,2.692,3.25,3.14,48.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31506,Cousin Granitic,2008,Granitic,10,Pomacanthidae,Centropyge multispinis,11,0.0601,2.692,3.25,2.48,38.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
31817,Cousin Granitic,2008,Granitic,10,Pomacanthidae,Pomacanthus semicirculatus,17,0.0286,3,3.25,9.13,141.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
33931,Cousin Granitic,2008,Granitic,10,Pomacentridae,Pomacentrus trilineatus,8,0.0135,3.312,3.25,0.86,13.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
34155,Cousin Granitic,2008,Granitic,10,Scaridae,Chlorurus atrilunula,32,0.0182,3.15,3.25,65.16,1003.0,Herbivore Excavator,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35445,Cousin Granitic,2008,Granitic,10,Scaridae,Scarus niger,32,0.0142,3.14,3.25,49.10,756.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36511,Cousin Granitic,2008,Granitic,10,Serranidae,Aethaloperca rogaa,24,0.0396,2.761,3.25,16.64,256.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
36651,Cousin Granitic,2008,Granitic,10,Serranidae,Epinephelus fasciatus,16,0.0229,2.877,3.25,4.33,67.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
25399,Cousin Granitic,2008,Granitic,11,Acanthuridae,Acanthurus tennentii,13,0.0261,3.024,3.25,3.96,61.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
27198,Cousin Granitic,2008,Granitic,11,Labridae,Cheilinus trilobatus,14,0.021,2.972,3.25,3.48,54.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28067,Cousin Granitic,2008,Granitic,11,Labridae,Halichoeres marginatus,10,0.0215,3,3.25,1.40,22.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28549,Cousin Granitic,2008,Granitic,11,Labridae,Labroides dimidiatus,8,0.0076,3.105,3.25,0.31,5.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28750,Cousin Granitic,2008,Granitic,11,Labridae,Stethojulis albovittata,11,0.0128,3.077,3.25,1.33,20.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28751,Cousin Granitic,2008,Granitic,11,Labridae,Stethojulis albovittata,12,0.0128,3.077,3.25,1.74,27.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
29485,Cousin Granitic,2008,Granitic,11,Lethrinidae,Lethrinus nebulosus,19,0.0204,2.975,3.25,8.44,130.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
30533,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus barberinus,17,0.0151,3.078,3.25,6.01,93.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30682,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus cyclostomus,11,0.012416,3,3.25,1.07,17.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
30776,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,20,0.0052,3.381,3.25,8.46,130.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30777,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,10,0.0052,3.381,3.25,0.81,13.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30778,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,8,0.0052,3.381,3.25,0.38,6.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30779,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,11,0.0052,3.381,3.25,1.12,17.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30780,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,17,0.0052,3.381,3.25,4.88,75.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30781,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,11,0.0052,3.381,3.25,1.12,17.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30782,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,13,0.0052,3.381,3.25,1.97,30.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30783,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,12,0.0052,3.381,3.25,1.50,23.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30784,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,11,0.0052,3.381,3.25,1.12,17.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30785,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,10,0.0052,3.381,3.25,0.81,13.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
30786,Cousin Granitic,2008,Granitic,11,Mullidae,Parupeneus macronemus,13,0.0052,3.381,3.25,1.97,30.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
34156,Cousin Granitic,2008,Granitic,11,Scaridae,Chlorurus atrilunula,17,0.0182,3.15,3.25,8.88,137.0,Herbivore Excavator,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
34157,Cousin Granitic,2008,Granitic,11,Scaridae,Chlorurus atrilunula,20,0.0182,3.15,3.25,14.82,228.0,Herbivore Excavator,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
34361,Cousin Granitic,2008,Granitic,11,Scaridae,Chlorurus sordidus,23,0.0182,3.15,3.25,23.02,354.0,Herbivore Excavator,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35102,Cousin Granitic,2008,Granitic,11,Scaridae,Scarus caudofasciatus,30,0.0136,3.109,3.25,34.56,532.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35694,Cousin Granitic,2008,Granitic,11,Scaridae,Scarus prasiognathos,24,0.0142,3.14,3.25,19.90,306.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35695,Cousin Granitic,2008,Granitic,11,Scaridae,Scarus prasiognathos,11,0.0142,3.14,3.25,1.72,26.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35696,Cousin Granitic,2008,Granitic,11,Scaridae,Scarus prasiognathos,12,0.0142,3.14,3.25,2.26,35.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
35697,Cousin Granitic,2008,Granitic,11,Scaridae,Scarus prasiognathos,10,0.0142,3.14,3.25,1.27,20.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36082,Cousin Granitic,2008,Granitic,11,Scaridae,Scarus psittacus,14,0.0222,2.982,3.25,3.77,58.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36083,Cousin Granitic,2008,Granitic,11,Scaridae,Scarus psittacus,12,0.0222,2.982,3.25,2.38,37.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36084,Cousin Granitic,2008,Granitic,11,Scaridae,Scarus psittacus,12,0.0222,2.982,3.25,2.38,37.0,Herbivore Scraper,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36729,Cousin Granitic,2008,Granitic,11,Siganidae,Siganus argenteus,9,0.0131,3.088,3.25,0.75,12.0,Herbivore Browser,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36730,Cousin Granitic,2008,Granitic,11,Siganidae,Siganus argenteus,9,0.0131,3.088,3.25,0.75,12.0,Herbivore Browser,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36731,Cousin Granitic,2008,Granitic,11,Siganidae,Siganus argenteus,9,0.0131,3.088,3.25,0.75,12.0,Herbivore Browser,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36732,Cousin Granitic,2008,Granitic,11,Siganidae,Siganus argenteus,9,0.0131,3.088,3.25,0.75,12.0,Herbivore Browser,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
36733,Cousin Granitic,2008,Granitic,11,Siganidae,Siganus argenteus,9,0.0131,3.088,3.25,0.75,12.0,Herbivore Browser,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25400,Cousin Granitic,2008,Granitic,12,Acanthuridae,Acanthurus tennentii,32,0.0261,3.024,3.25,60.38,929.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25401,Cousin Granitic,2008,Granitic,12,Acanthuridae,Acanthurus tennentii,29,0.0261,3.024,3.25,44.83,690.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
25402,Cousin Granitic,2008,Granitic,12,Acanthuridae,Acanthurus tennentii,30,0.0261,3.024,3.25,49.67,765.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
26023,Cousin Granitic,2008,Granitic,12,Acanthuridae,Naso elegans,38,0.0497,2.839,3.25,98.63,1518.0,Herbivore Browser,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
26024,Cousin Granitic,2008,Granitic,12,Acanthuridae,Naso elegans,38,0.0497,2.839,3.25,98.63,1518.0,Herbivore Browser,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
26118,Cousin Granitic,2008,Granitic,12,Acanthuridae,Zebrasoma scopas,15,0.04,2.867,3.25,6.12,94.0,Herbivore Grazer,Herbivore,-4.328438,55.66162,Protected,Cousin,Shifted
26275,Cousin Granitic,2008,Granitic,12,Chaetodontidae,Chaetodon auriga,11,0.0312,2.953,3.25,2.41,37.0,Mixed-diet Feeder,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
26276,Cousin Granitic,2008,Granitic,12,Chaetodontidae,Chaetodon auriga,12,0.0312,2.953,3.25,3.12,48.0,Mixed-diet Feeder,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
26277,Cousin Granitic,2008,Granitic,12,Chaetodontidae,Chaetodon auriga,12,0.0312,2.953,3.25,3.12,48.0,Mixed-diet Feeder,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
28278,Cousin Granitic,2008,Granitic,12,Labridae,Hemigymnus fasciatus,17,0.0289,3,3.25,9.22,142.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28279,Cousin Granitic,2008,Granitic,12,Labridae,Hemigymnus fasciatus,22,0.0289,3,3.25,19.99,308.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28280,Cousin Granitic,2008,Granitic,12,Labridae,Hemigymnus fasciatus,23,0.0289,3,3.25,22.84,352.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28550,Cousin Granitic,2008,Granitic,12,Labridae,Labroides dimidiatus,9,0.0076,3.105,3.25,0.45,7.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
28921,Cousin Granitic,2008,Granitic,12,Labridae,Thalassoma hebraicum,16,0.0183,2.862,3.25,3.32,51.0,Invertivore,Invertivore,-4.328438,55.66162,Protected,Cousin,Shifted
29777,Cousin Granitic,2008,Granitic,12,Lutjanidae,Lutjanus bohar,21,0.017,3.035,3.25,11.38,175.0,Piscivore,Piscivore,-4.328438,55.66162,Protected,Cousin,Shifted
30069,Cousin Granitic,2008,Granitic,12,Lutjanidae,Lutjanus gibbus,21,0.0153,3.091,3.25,12.14,187.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.328438,55.66162,Protected,Cousin,Shifted
